timestamp,x
1520626368375,"5.61,-5.53,6.28"
1520626368573,"5.57,-5.40,6.30"
1520626368772,"5.61,-4.29,6.44"
1520626368971,"5.93,-5.14,6.48"
1520626369171,"6.03,-4.86,6.52"
1520626369370,"5.86,-4.13,6.07"
1520626369569,"4.52,-10.53,-5.14"
1520626369768,"5.21,-11.24,-7.95"
1520626369968,"6.40,-5.52,5.22"
1520626370166,"4.56,-12.46,2.42"
1520626370366,"5.62,-7.45,-7.01"
1520626370565,"5.72,-9.91,6.29"
1520626370765,"4.18,-8.33,-0.57"
1520626371041,"6.43,-14.62,-7.83"
1520626371164,"6.03,-4.12,5.83"
1520626371362,"6.29,-3.65,-7.50"
1520626371562,"2.85,-9.88,-7.70"
1520626371761,"6.01,-4.09,6.41"
1520626371959,"5.79,-3.76,6.59"
