timestamp,x
1520674159687,1.68
1520674159862,0.50
1520674160061,0.43
1520674160260,-0.10
1520674160459,3.89
1520674160659,8.85
1520674160903,8.92
1520674161058,8.49
1520674161256,5.20
1520674161455,0.84
1520674161654,-0.75
1520674161854,0.75
1520674162053,5.17
1520674162252,8.14
1520674162451,9.53
1520674162650,8.85
1520674162850,7.18
1520674163049,4.05
1520674163248,1.38
1520674163447,-0.85
1520674163647,-0.27
1520674163846,5.65
1520674164098,8.09
1520674164245,9.32
1520674164444,8.58
1520674164643,5.30
1520674164843,1.84
1520674165042,-0.11
1520674165268,0.01
1520674165510,0.15
1520674165658,0.18
