timestamp,x,y,z,w
1520674377165,1520674377165,0.96,0.58,10.06
1520674377359,1520674377359,0.23,-0.28,10.00
1520674377558,1520674377558,0.43,-0.22,10.30
1520674377757,1520674377757,0.87,-0.26,12.22
1520674378005,1520674378005,4.85,-0.77,6.75
1520674378155,1520674378155,8.15,-1.93,1.24
1520674378354,1520674378354,9.04,-1.82,-1.90
1520674378554,1520674378554,9.49,-1.87,-2.96
1520674378753,1520674378753,8.42,-1.33,1.39
1520674378952,1520674378952,4.99,-0.60,7.95
1520674379151,1520674379151,2.25,-0.68,10.49
1520674379351,1520674379351,0.71,-1.52,10.79
1520674379551,1520674379551,0.10,-1.64,10.19
1520674379749,1520674379749,-0.12,-0.83,12.35
1520674379948,1520674379948,3.12,-1.65,8.92
1520674380148,1520674380148,6.99,-1.98,3.75
1520674380347,1520674380347,9.04,-1.49,-0.51
1520674380547,1520674380547,9.22,-1.59,-2.79
1520674380745,1520674380745,9.31,-1.76,-3.37
1520674380944,1520674380944,8.66,-2.14,0.88
1520674381144,1520674381144,6.72,-0.48,4.89
1520674381343,1520674381343,3.39,-0.40,9.45
1520674381543,1520674381543,1.20,-1.06,10.64
1520674381742,1520674381742,0.24,-0.94,10.79
1520674382015,1520674382015,0.19,-1.01,12.86
1520674382165,1520674382165,4.64,-1.72,6.70
1520674382364,1520674382364,7.47,-1.47,1.73
1520674382562,1520674382562,9.47,-1.56,-2.29
1520674382763,1520674382763,9.24,-1.25,-3.31
1520674382961,1520674382961,9.05,-0.88,-2.72
1520674383161,1520674383161,7.83,-2.40,2.62
1520674383360,1520674383360,5.33,-0.34,6.60
1520674383559,1520674383559,1.51,-0.12,11.11
1520674383758,1520674383758,0.91,-0.05,10.31
1520674383958,1520674383958,0.51,-0.17,10.16
1520674384157,1520674384157,0.30,-0.14,9.94
1520674384331,1520674384331,0.30,-0.08,10.02
1520674384546,1520674384546,0.26,-0.18,10.04
1520674384755,1520674384755,0.24,-0.06,9.97
1520674385010,1520674385010,0.26,-0.00,10.02
