timestamp,x
1520624613098,"2.31,-5.13,8.34"
1520624613265,"2.40,-4.33,8.78"
1520624613463,"2.29,-4.39,8.77"
1520624613663,"2.36,-4.58,8.76"
1520624613862,"2.31,-4.57,8.66"
1520624614062,"2.36,-4.59,8.74"
1520624614261,"2.36,-4.69,8.73"
1520624614459,"2.38,-4.62,8.71"
1520624614659,"2.35,-4.58,8.69"
1520624614908,"2.33,-4.59,8.64"
1520624615058,"2.35,-4.68,8.70"
1520624615256,"2.34,-4.60,8.67"
1520624615481,"2.31,-4.66,8.69"
1520624615701,"2.37,-4.64,8.68"
1520624615896,"2.36,-4.68,8.72"
1520624616079,"2.35,-4.59,8.65"
1520624616278,"2.33,-4.64,8.65"
1520624616477,"2.36,-4.63,8.68"
1520624616676,"2.36,-4.64,8.69"
1520624616859,"2.36,-4.67,8.68"
