timestamp,x
1520625937379,"6.01,-3.51,6.96"
1520625937577,"5.98,-3.74,6.90"
1520625937776,"5.92,-3.61,6.98"
1520625937975,"6.00,-3.67,6.96"
1520625938177,"5.92,-3.71,6.97"
1520625938373,"5.97,-3.74,7.00"
1520625938572,"5.94,-3.73,6.96"
1520625938771,"5.87,-3.81,7.05"
1520625938971,"5.88,-3.80,7.04"
1520625939171,"5.85,-3.71,7.02"
1520625939369,"5.88,-3.83,7.05"
1520625939568,"5.78,-3.66,7.02"
1520625939768,"5.64,-3.67,7.05"
1520625939967,"5.82,-3.68,7.06"
1520625940166,"5.87,-3.85,7.04"
1520625940441,"5.82,-3.76,7.09"
1520625940565,"5.72,-3.78,7.06"
1520625940764,"5.92,-3.77,7.05"
1520625940964,"5.88,-3.93,7.06"
