timestamp,x
1520628934641,5.92
1520628934839,6.10
1520628935039,5.99
1520628935238,5.97
1520628935438,5.89
1520628935637,5.88
1520628935836,5.88
1520628936099,5.89
1520628936149,5.90
1520628936359,5.82
1520628936558,5.83
1520628936757,5.82
1520628937056,5.86
1520628937254,5.89
1520628937454,5.90
1520628937653,5.86
1520628937853,5.88
1520628938051,5.93
1520628938250,5.92
1520628938450,4.36
1520628938649,5.73
1520628938848,5.86
1520628939047,5.94
1520628939246,5.40
1520628939455,5.08
1520628939647,5.37
1520628939845,4.99
1520628940044,4.87
1520628940244,4.80
1520628940442,4.89
1520628940642,4.96
1520628940841,5.06
1520628941041,5.21
1520628941239,5.24
1520628941437,4.82
1520628941637,4.80
1520628941836,5.33
1520628942061,5.58
1520628942260,5.03
1520628942459,4.97
1520628942658,4.84
1520628942857,4.70
1520628943056,5.12
1520628943256,4.70
1520628943455,4.95
1520628943654,5.08
1520628943854,5.06
1520628944065,4.84
1520628944254,5.44
1520628944452,5.11
1520628944651,5.43
1520628944851,5.17
1520628945049,5.18
1520628945248,5.28
1520628945448,5.26
1520628945646,5.11
1520628945830,5.78
1520628946055,5.51
1520628946245,5.15
1520628946443,5.35
1520628946643,5.40
1520628946842,5.46
1520628947041,5.42
1520628947241,5.41
1520628947440,5.53
1520628947638,5.55
1520628947838,5.48
1520628948062,5.44
1520628948261,5.19
1520628948460,5.60
1520628948660,5.58
1520628948859,5.63
1520628949059,5.48
1520628949258,5.60
1520628949457,5.60
1520628949656,5.62
