timestamp,x
1520673506849,0.89
1520673507047,0.95
1520673507246,0.86
1520673507445,1.96
1520673507645,5.52
1520673507844,8.30
1520673508042,9.26
1520673508268,9.40
1520673508466,8.31
1520673508665,5.58
1520673508893,1.41
1520673509065,0.26
1520673509264,0.02
1520673509514,0.38
1520673509662,3.52
1520673509861,6.69
1520673510061,8.57
1520673510259,9.27
1520673510459,9.40
1520673510658,8.86
1520673510899,7.34
1520673511057,2.78
1520673511257,1.17
1520673511456,0.79
1520673511655,0.42
1520673511854,0.87
1520673512054,4.64
1520673512251,7.30
1520673512451,8.84
1520673512649,9.08
1520673512850,9.18
1520673513048,8.73
1520673513297,7.28
1520673513448,2.63
1520673513674,0.06
1520673513846,0.87
1520673514046,0.67
1520673514245,0.54
