timestamp,x
1520624816319,"-0.07,1.60,9.78"
1520624816418,"5.34,-5.32,6.52"
1520624816519,"5.33,-5.37,6.47"
1520624816720,"5.37,-5.36,6.55"
1520624816866,"5.22,-5.35,6.42"
1520624817117,"5.28,-5.41,6.31"
1520624817316,"5.44,-4.38,6.77"
1520624817515,"5.24,-4.62,6.49"
1520624817716,"5.30,-5.04,6.75"
1520624817913,"5.23,-5.05,7.01"
1520624818112,"4.67,-5.06,6.46"
1520624818312,"5.13,-4.66,6.34"
1520624818511,"5.48,-5.09,6.53"
1520624818712,"5.07,-5.39,5.99"
1520624818910,"5.69,-4.47,7.10"
1520624819109,"5.26,-4.09,7.03"
1520624819308,"5.27,-4.78,7.08"
1520624819507,"6.38,-4.56,8.10"
1520624819708,"5.17,-4.35,7.05"
