timestamp,x
1520623532463,1.40
1520623532660,5.34
1520623532858,5.33
1520623533058,5.25
1520623533257,5.29
1520623533456,5.32
1520623533656,5.25
1520623533854,5.42
1520623534130,5.32
1520623534278,5.30
1520623534476,5.40
1520623534676,5.30
1520623534875,5.30
1520623535126,5.37
1520623535325,5.33
1520623535525,5.29
1520623535724,5.39
1520623535923,5.31
1520623536122,5.33
1520623536270,5.36
1520623536521,5.30
1520623536720,5.30
1520623536919,5.35
1520623537118,5.30
1520623537317,5.33
