timestamp,x,y,z
1521054496176,0.65,2.97,9.43
1521054496343,-0.94,3.12,9.22
1521054496547,-1.01,3.06,9.24
1521054496767,-0.43,4.16,9.82
1521054496942,-4.54,-3.08,9.53
1521054497166,-5.80,-0.84,3.11
1521054497349,-7.12,-4.80,-0.77
1521054497573,-9.61,-7.52,-0.87
1521054497763,-11.49,-8.02,0.41
1521054497955,-10.66,-7.62,0.01
1521054498162,-9.75,-5.01,0.83
1521054498360,-6.71,-4.51,1.75
1521054498568,-5.38,-2.48,6.97
1521054498759,-6.94,-3.57,5.63
1521054498963,-7.42,-3.61,5.07
1521054499157,-5.86,-2.33,2.33
1521054499356,-9.17,-5.39,2.09
1521054499685,-10.35,-6.63,4.34
1521054499753,-10.75,-7.03,4.63
1521054499947,-10.72,-7.17,4.83
1521054500154,-9.00,-5.09,3.93
1521054500353,-4.58,-1.11,2.52
1521054500561,-7.27,-2.79,6.20
1521054500767,-7.65,-3.05,6.02
1521054500943,-7.46,-3.30,6.11
1521054501162,-7.55,-3.38,5.98
1521054501348,-7.25,-2.58,5.77
1521054501557,-4.67,-1.23,3.34
1521054501763,-9.58,-6.65,1.58
1521054501969,-10.64,-7.28,1.93
1521054502158,-11.28,-7.75,2.47
1521054502346,-10.96,-7.28,3.08
1521054502553,-7.85,-4.83,2.51
1521054502744,-4.80,-1.91,2.75
1521054502949,-7.70,-3.17,5.86
1521054503212,-7.68,-3.35,5.69
1521054503371,-7.76,-3.32,5.57
1521054503458,-7.48,-3.60,4.83
1521054503770,-5.82,-2.55,2.21
1521054503945,-8.36,-5.60,1.08
1521054504150,-10.40,-7.38,1.27
1521054504388,-10.24,-7.45,1.01
1521054504562,-10.96,-8.27,2.35
1521054504766,-8.63,-5.94,2.25
1521054504961,-5.80,-2.95,2.42
1521054505148,-6.45,-2.31,4.30
1521054505384,-8.30,-4.01,5.55
1521054505559,-8.01,-3.53,5.46
1521054505749,-7.97,-3.47,5.33
1521054505957,-7.76,-3.46,5.36
1521054506153,-6.51,-2.94,3.71
1521054506354,-6.90,-4.50,2.40
1521054506552,-9.47,-7.05,2.33
1521054506751,-10.07,-6.84,1.70
1521054506950,-10.52,-7.38,1.78
1521054507149,-11.48,-7.63,2.80
1521054507349,-8.27,-4.97,2.96
1521054507548,-5.85,-3.00,3.24
1521054507748,-6.53,-1.96,4.58
1521054507947,-8.39,-3.62,5.52
1521054508146,-7.72,-3.12,5.23
1521054508346,-7.91,-3.32,5.48
1521054508545,-7.92,-3.41,5.54
1521054508744,-5.67,-3.15,4.54
1521054508943,-6.26,-3.54,2.66
1521054509167,-9.38,-6.13,2.27
1521054509366,-9.69,-6.63,2.44
1521054509565,-11.38,-7.66,2.09
1521054509764,-10.98,-7.05,2.53
1521054509963,-8.37,-5.18,2.56
1521054510163,-6.10,-3.09,2.26
1521054510362,-6.82,-2.61,3.82
1521054510561,-8.33,-3.68,4.76
1521054510760,-8.34,-3.57,5.15
1521054511021,-7.61,-3.06,5.34
1521054511160,-6.47,-2.77,3.06
1521054511359,-7.74,-3.26,2.13
1521054511558,-9.81,-7.47,0.78
1521054511757,-10.77,-7.54,0.59
1521054511957,-10.82,-7.82,0.76
1521054512156,-10.67,-7.24,1.75
1521054512354,-8.10,-4.60,2.03
1521054512553,-6.17,-2.61,2.71
1521054512752,-7.27,-2.70,4.87
1521054512952,-7.88,-3.61,5.27
1521054513150,-7.87,-3.28,5.18
1521054513350,-7.67,-3.32,3.53
1521054513549,-5.92,-3.20,2.18
1521054513748,-9.34,-5.86,2.07
1521054513948,-10.20,-6.43,1.14
1521054514147,-10.72,-7.71,1.41
1521054514346,-11.24,-7.56,2.69
1521054514545,-6.70,-3.81,3.11
1521054514744,-7.41,-3.56,2.67
1521054514944,-7.68,-4.17,3.42
1521054515167,-9.32,-4.72,3.27
1521054515341,-7.82,-3.57,3.56
1521054515567,-7.11,-2.55,4.98
1521054515765,-6.31,-2.28,3.23
1521054515964,-8.10,-3.97,3.03
1521054516165,-9.59,-6.08,2.92
1521054516363,-10.90,-7.29,2.32
1521054516643,-11.23,-6.77,3.22
1521054516763,-10.05,-6.06,3.36
1521054516963,-6.03,-2.89,3.58
1521054517161,-5.36,-0.53,6.22
1521054517360,-5.26,2.37,7.07
1521054517560,-4.26,4.12,7.94
1521054517759,-1.20,2.71,10.59
1521054517958,-1.04,4.00,8.93
1521054518157,-0.80,3.68,9.34
1521054518356,-0.74,3.38,9.32
1521054518556,-0.75,3.42,9.23
1521054518814,-0.97,3.03,9.19
1521054518954,-0.74,3.06,9.30
1521054519153,-0.74,2.93,9.40
1521054519352,-0.81,2.88,9.22
1521054519551,-0.88,2.79,9.57
1521054519751,-2.62,3.12,8.52
1521054519951,-1.07,2.55,9.23
1521054520149,-0.61,2.80,9.46
1521054520396,-2.05,2.24,8.21
1521054520551,-0.73,2.80,9.18
1521054520749,-0.56,2.75,9.37
1521054520969,-0.55,2.81,9.34
1521054521155,-0.56,2.69,9.42
1521054521420,-0.47,2.84,9.51
