timestamp,x,y,z
1525418446948,0.49,3.56,7.91
1525418447142,1.64,3.05,10.30
1525418447341,-2.91,2.64,9.29
1525418447540,-3.54,-1.99,6.11
1525418447739,-7.53,-2.76,0.95
1525418447938,-8.80,-7.21,1.16
1525418448139,-7.58,-9.49,4.91
1525418448338,-9.33,-8.53,3.48
1525418448562,-9.25,-7.90,3.99
1525418448760,-8.35,-7.50,4.47
1525418448959,-5.32,-5.19,3.34
1525418449158,-3.84,-2.41,4.09
1525418449358,-5.71,-3.55,7.07
1525418449559,-5.77,-3.32,6.88
1525418449787,-5.46,-3.62,6.60
1525418449955,-4.16,-2.82,4.50
1525418450154,-6.08,-4.83,3.42
1525418450354,-7.54,-6.90,3.33
1525418450554,-8.95,-8.46,3.71
1525418450752,-9.29,-8.50,3.67
1525418450952,-9.35,-8.30,4.31
1525418451179,-6.71,-5.65,3.93
1525418451350,-3.65,-2.80,3.09
1525418451549,-4.93,-3.45,6.40
1525418451748,-5.31,-4.09,6.59
1525418451947,-5.68,-4.32,6.77
1525418452146,-5.63,-4.12,6.70
1525418452346,-4.98,-3.56,5.00
1525418452545,-5.14,-4.04,2.77
1525418452745,-7.08,-6.67,2.92
1525418452943,-8.64,-8.29,2.13
1525418453143,-9.69,-9.46,2.88
1525418453342,-9.19,-8.74,3.58
1525418453541,-7.04,-6.48,3.33
1525418453771,-4.28,-3.54,3.61
1525418453942,-4.29,-3.04,4.86
1525418454140,-6.03,-4.42,7.06
1525418454338,-5.91,-4.33,6.60
1525418454541,-5.86,-4.38,6.57
1525418454739,-5.86,-4.30,6.34
1525418454961,-5.00,-3.92,4.91
1525418455160,-5.39,-4.28,1.62
1525418455359,-7.88,-6.86,2.29
1525418455558,-8.75,-8.24,1.67
1525418455757,-10.26,-9.45,1.65
1525418455991,-9.30,-8.75,2.53
1525418456156,-7.74,-7.06,2.95
1525418456356,-4.50,-3.97,2.62
1525418456556,-4.68,-3.07,3.98
1525418456753,-6.51,-4.33,5.44
1525418456953,-7.07,-5.49,5.12
1525418457152,-5.48,-5.23,4.44
1525418457352,-4.01,-4.59,2.50
1525418457552,-4.76,-5.34,0.55
1525418457750,-5.24,-9.21,1.20
1525418457949,-5.36,-11.79,3.11
1525418458148,-3.73,-11.67,6.42
1525418458347,-0.79,-8.33,5.46
1525418458548,-0.82,-2.10,8.46
1525418458746,-3.80,-4.21,8.47
1525418458945,0.03,-0.26,10.76
1525418459121,3.87,7.56,8.67
1525418459344,-0.07,-0.68,9.46
1525418459543,-2.02,-2.79,8.75
1525418459758,-1.87,-3.93,8.90
1525418459941,-4.87,-7.22,5.15
1525418460141,-5.80,-8.30,2.46
1525418460340,-4.55,-6.20,5.38
1525418460549,-1.72,-1.98,10.10
1525418460738,-1.47,-1.37,10.34
1525418460962,-0.76,-0.42,11.24
1525418461161,1.55,-0.12,11.12
1525418461361,-0.35,-1.81,9.03
1525418461560,-2.06,-3.64,9.71
