timestamp,x,y,z
1521053249091,3.10,2.29,9.56
1521053249250,-0.16,9.55,-1.15
1521053249469,-0.22,10.26,-1.16
1521053249659,-0.34,6.25,3.74
1521053249851,2.99,2.68,11.47
1521053250068,-1.90,-0.80,8.21
1521053250258,-2.31,-1.64,9.38
1521053250484,0.87,1.08,9.57
1521053250672,4.00,3.71,8.51
1521053250847,3.25,2.86,9.05
1521053251063,-0.33,-0.92,9.64
1521053251242,-2.99,-2.25,8.97
1521053251448,-0.15,-0.65,9.28
1521053251750,3.06,2.20,9.04
1521053251841,5.08,4.13,7.90
1521053252049,0.89,0.44,9.49
1521053252363,-1.14,-1.60,8.71
1521053252446,-1.55,-1.66,9.13
1521053252663,1.18,0.73,9.31
1521053252868,4.25,3.04,8.66
1521053253142,1.43,0.78,9.09
1521053253278,-0.42,-0.58,10.50
1521053253454,-2.28,-2.12,8.97
1521053253660,-0.93,-1.30,9.18
1521053253867,2.45,1.11,9.51
1521053254066,5.24,3.57,8.27
1521053254243,3.14,1.66,9.60
1521053254465,-0.85,-1.03,9.23
1521053254669,-1.65,-2.21,8.93
1521053254844,1.33,0.31,9.57
1521053255162,2.55,3.49,8.25
1521053255258,5.21,4.48,8.09
1521053255570,0.89,-0.01,9.79
1521053255650,-0.83,-1.11,8.96
1521053255964,-0.68,-0.85,9.22
1521053256059,2.99,2.03,9.51
1521053256361,5.23,3.61,8.44
1521053256440,4.01,2.94,7.98
1521053256660,0.52,-0.36,10.40
1521053256963,-1.32,-1.58,9.15
1521053257108,0.19,0.11,9.63
1521053257262,3.45,2.03,8.82
1521053257562,4.85,3.95,7.50
1521053257642,3.48,3.13,8.48
1521053257863,0.78,-0.08,10.32
1521053258163,-1.26,-2.12,8.63
1521053258245,0.04,-0.81,9.46
1521053258450,3.75,2.10,7.99
1521053258765,5.15,4.41,6.94
1521053258944,3.17,2.07,8.82
1521053259144,0.48,-0.71,9.14
1521053259344,-2.02,-1.90,9.05
1521053259567,1.40,0.41,9.47
1521053259667,4.24,2.80,8.56
1521053259866,5.72,3.92,7.44
1521053260065,3.07,1.52,8.89
1521053260264,0.27,-0.66,9.55
1521053260520,-1.74,-2.06,8.95
1521053260663,1.06,0.05,9.40
1521053260862,5.59,4.10,8.75
1521053261062,5.62,4.89,6.42
1521053261261,1.30,8.96,0.74
1521053261460,2.19,9.58,-0.27
1521053261659,2.32,9.38,-0.39
1521053261858,1.91,9.40,-1.23
1521053262101,1.43,8.41,-0.43
1521053262259,2.54,8.49,-0.30
1521053262553,1.31,9.57,-0.46
1521053262741,1.54,9.69,0.12
1521053262955,1.33,9.50,0.10
