timestamp,x,y,z
1521054779268,-0.56,-0.49,9.57
1521054779448,1.68,4.23,8.48
1521054779675,2.63,3.92,8.32
1521054779858,2.99,2.57,9.06
1521054780083,1.12,2.84,10.90
1521054780269,0.16,4.75,10.25
1521054780505,-0.69,5.06,5.42
1521054780665,-2.53,5.81,4.85
1521054780854,-0.21,5.94,7.02
1521054781046,2.73,5.38,9.28
1521054781265,3.89,5.32,11.03
1521054781471,1.94,5.61,8.95
1521054781649,-0.91,5.76,5.57
1521054781867,-2.50,5.56,4.24
1521054782043,0.13,6.18,7.12
1521054782249,2.11,5.09,9.52
1521054782468,3.42,5.29,11.16
1521054782656,1.87,5.48,9.00
1521054782863,-0.79,6.15,6.12
1521054783068,-2.46,5.26,4.10
1521054783258,0.39,5.21,6.94
1521054783468,2.70,4.60,10.02
1521054783654,3.11,4.38,10.25
1521054783859,2.56,5.35,9.66
1521054784112,-0.18,5.29,6.94
1521054784254,-2.77,4.99,3.47
1521054784444,-0.03,5.11,6.97
1521054784649,2.01,4.60,9.68
1521054784856,2.90,4.03,10.36
1521054785062,3.15,4.54,10.61
1521054785265,0.44,4.30,8.14
1521054785439,-2.36,4.85,5.60
1521054785647,-1.01,4.95,7.42
1521054785852,1.81,4.21,9.69
1521054786060,2.69,3.37,10.17
1521054786261,2.91,3.83,10.27
1521054786455,1.59,4.63,9.72
1521054786641,-1.44,4.75,6.62
1521054786850,-1.69,4.42,6.76
1521054787158,0.81,4.20,9.34
1521054787243,2.66,3.46,9.95
1521054787465,3.24,3.66,10.46
1521054787764,1.51,4.25,8.48
1521054787846,-1.39,4.91,6.57
1521054788051,-1.31,4.27,6.15
1521054788253,1.36,3.96,8.56
1521054788460,3.44,3.26,10.88
1521054788761,3.95,3.22,11.13
1521054788871,2.24,3.55,9.06
1521054789046,0.09,4.43,7.53
1521054789243,-1.76,4.39,5.69
1521054789442,0.99,4.81,9.08
1521054789667,3.12,2.76,10.59
1521054789866,3.07,3.55,10.10
1521054790135,2.93,3.61,9.79
1521054790265,0.05,4.42,7.19
1521054790464,-1.73,4.52,6.28
1521054790663,-0.28,4.48,7.70
1521054790862,2.15,3.22,9.18
1521054791062,3.18,3.10,10.23
1521054791261,3.22,3.60,10.58
1521054791459,1.16,3.94,7.74
1521054791659,-2.18,4.50,5.42
1521054791858,-2.00,4.71,5.97
1521054792057,0.66,2.94,9.52
1521054792256,4.23,-0.64,10.67
1521054792456,-0.10,2.72,5.69
1521054792655,1.66,-0.62,9.00
1521054792854,2.59,-0.45,8.74
1521054793053,0.67,-3.00,9.17
1521054793312,2.25,-2.07,9.24
1521054793452,-0.20,-0.95,9.66
1521054793651,-1.41,-1.90,9.46
1521054793864,-0.76,-1.53,9.94
1521054794055,-0.89,-1.80,9.73
1521054794247,-0.89,-2.08,9.65
1521054794601,-0.91,-2.05,9.46
