timestamp,x,y,z
1521054713868,-0.89,0.52,9.31
1521054713962,-1.81,1.25,9.38
1521054714152,-0.95,-0.59,9.51
1521054714370,-0.23,-1.72,8.97
1521054714577,-0.41,-5.50,-2.39
1521054714766,10.00,-10.36,-7.06
1521054715010,0.42,7.65,-6.07
1521054715148,12.43,-7.08,13.01
1521054715368,-7.84,5.88,-8.36
1521054715560,10.20,-5.27,12.22
1521054715748,-3.63,11.56,-8.39
1521054715955,11.88,-8.25,10.54
1521054716144,-7.82,6.86,-7.48
1521054716351,9.92,-2.92,8.41
1521054716555,-11.03,5.89,-6.61
1521054716746,10.27,-13.07,9.93
1521054716964,-3.96,9.21,-10.09
1521054717170,12.37,-7.20,9.79
1521054717358,-8.10,7.20,-8.79
1521054717602,10.59,-4.40,6.87
1521054717751,-9.21,6.35,-20.41
1521054717961,12.95,-1.60,4.14
1521054718166,-7.17,-2.20,-22.84
1521054718355,12.25,8.76,0.71
1521054718561,16.63,0.33,-39.23
1521054718768,15.79,9.28,2.22
1521054718999,9.82,-37.63,-39.18
1521054719163,13.47,13.81,-1.70
1521054719351,25.25,-30.73,-39.23
1521054719560,10.77,6.72,-6.39
1521054719748,2.63,-31.12,-26.71
1521054719954,7.78,12.27,-5.93
1521054720144,6.84,-32.41,-9.26
1521054720365,4.57,11.43,-5.14
1521054720570,9.98,-12.43,5.44
1521054720744,-4.86,5.03,-11.24
1521054720951,12.50,-6.21,8.76
1521054721156,-0.06,-16.98,-15.61
1521054721344,2.15,-7.33,0.37
1521054721565,0.50,0.10,8.67
1521054721771,-0.56,-0.50,9.96
1521054721945,-0.49,-1.05,9.53
1521054722166,-0.47,-1.24,9.65
1521054722345,-0.54,-1.01,9.70
